date,1INCH,AAVE,ADA,ALGO,APT,ARB,ATOM,AVAX,AXS,BAT,BCH,BNB,BTC,CAKE,CHZ,COMP,CRV,DASH,DOGE,DOT,EGLD,ENJ,EOS,ETC,ETH,FIL,FTM,FTT,GALA,GRT,HBAR,ICP,INJ,IOTA,KAVA,LDO,LINK,LTC,MANA,MATIC,MKR,NEAR,NEO,OP,RUNE,SAND,SEI,SNX,SOL,SUI,THETA,TIA,TRX,UNI,VET,WAVES,XLM,XRP,XTZ,ZEC,ZIL
2019-01-01,,,0.04198,,,,,,,,,5.991,3797.14,,,,,,,,,,2.6184,5.252,139.1,,,,,,,,,0.3612,,,,31.48,,,,,7.756,,,,,,,,,,0.01928,,0.004082,,0.11351,0.3608,,,
2019-01-02,,,0.04433,,,,,,,,,6.051,3858.56,,,,,,,,,,2.8197,5.32,152.01,,,,,,,,,0.3826,,,,32.67,,,,,7.899,,,,,,,,,,0.01974,,0.004132,,0.11656,0.36882,,,
2019-01-03,,,0.04205,,,,,,,,,5.7979,3766.78,,,,,,,,,,2.6379,4.9982,146.3,,,,,,,,,0.3691,,,,31.39,,,,,7.522,,,,,,,,,,0.01966,,0.00397,,0.11139,0.3524,,,
2019-01-04,,,0.04301,,,,,,,,,5.9692,3792.01,,,,,,,,,,2.6744,5.1894,151.97,,,,,,,,,0.3674,,,,31.76,,,,,7.455,,,,,,,,,,0.02106,,0.004023,,0.11271,0.35308,,,
2019-01-05,,,0.04403,,,,,,,,,5.9625,3770.96,,,,,,,,,,2.651,5.0564,152.83,,,,,,,,,0.3625,,,,34.33,,,,,7.722,,,,,,,,,,0.0219,,0.003998,,0.11148,0.34851,,,
2019-01-06,,,0.04822,,,,,,,,,6.2688,3987.6,,,,,,,,,,2.8092,5.385,153.86,,,,,,,,,0.3703,,,,38.3,,,,,8.463,,,,,,,,,,0.02249,,0.004245,,0.11871,0.36042,,,
2019-01-07,,,0.04755,,,,,,,,,6.2009,3975.45,,,,,,,,,,2.7336,4.8099,149.34,,,,,,,,,0.362,,,,37.35,,,,,8.36,,,,,,,,,,0.02334,,0.004121,,0.12232,0.36022,,,
2019-01-08,,,0.0478,,,,,,,,,6.5128,3955.13,,,,,,,,,,2.743,4.8852,147.6,,,,,,,,,0.3567,,,,38.7,,,,,9.006,,,,,,,,,,0.02589,,0.004297,,0.12153,0.36073,,,
2019-01-09,,,0.05144,,,,,,,,,6.5511,3966.65,,,,,,,,,,2.86,4.9059,148.1,,,,,,,,,0.3626,,,,38.17,,,,,8.999,,,,,,,,,,0.02785,,0.004702,,0.1225,0.3648,,,
2019-01-10,,,0.04366,,,,,,,,,5.8449,3585.88,,,,,,,,,,2.3691,4.3316,124.95,,,,,,,,,0.3034,,,,32.81,,,,,7.775,,,,,,,,,,0.02541,,0.003968,,0.10595,0.32464,,,
2019-01-11,,,0.0433,,,,,,,,,5.9595,3601.31,,,,,,,,,,2.3627,4.3799,124.65,,,,,,,,,0.3071,,,,31.49,,,,,7.735,,,,,,,,,,0.02453,,0.003912,,0.10385,0.3258,,,
2019-01-12,,,0.04288,,,,,,,,,5.8594,3583.13,,,,,,,,,,2.3768,4.4593,123.35,,,,,,,,,0.3021,,,,31.65,,,,,7.563,,,,,,,,,,0.02296,,0.003938,,0.10447,0.32557,,,
2019-01-13,,,0.03944,,,,,,,,,5.4688,3476.81,,,,,,,,,,2.2092,4.1395,114.16,,,,,,,,,0.2786,,,,29.59,,,,,6.984,,,,,,,,,,0.02085,,0.003698,,0.10102,0.31132,,,
2019-01-14,,,0.04343,,,,,,,,,6.0583,3626.09,,,,,,,,,,2.4256,4.2913,126.95,,,,,,,,,0.2991,,,,31.71,,,,,7.812,,,,,,,,,,0.02524,,0.003974,,0.10732,0.32871,,,
2019-01-15,,,0.04201,,,,,,,,,5.8111,3553.06,,,,,,,,,,2.3496,4.1215,118.95,,,,,,,,,0.2906,,,,30.75,,,,,7.418,,,,,,,,,,0.02395,,0.003852,,0.1037,0.3215,,,
2019-01-16,,,0.04419,,,,,,,,,6.0911,3591.84,,,,,,,,,,2.4027,4.2516,121.48,,,,,,,,,0.2934,,,0.4895,31.29,,,,,7.551,,,,,,,,,,0.02479,,0.003933,,0.10551,0.3257,,,
2019-01-17,,,0.04471,,,,,,,,,6.3266,3616.21,,,,,,,,,,2.4718,4.4137,121.54,,,,,,,,,0.3057,,,0.4756,31.4,,,,,7.664,,,,,,,,,,0.02492,,0.004191,,0.10712,0.32489,,,
2019-01-18,,,0.04372,,,,,,,,,6.4867,3594.87,,,,,,,,,,2.4296,4.3153,119.17,,,,,,,,,0.3004,,,0.4894,30.77,,,,,7.505,,,,,,,,,,0.02441,,0.004014,2.5235,0.10542,0.32036,,,
2019-01-19,,,0.04515,,,,,,,,,6.5199,3665.3,,,,,,,,,,2.444,4.341,122.6,,,,,,,,,0.3074,,,0.4831,32,,,,,7.901,,,,,,,,,,0.02419,,0.004077,2.5718,0.10651,0.3267,,,
2019-01-20,,,0.04287,,,,,,,,,6.4008,3539.28,,,,,,,,,,2.3266,4.2098,117.47,,,,,,,,,0.2953,,,0.4834,30.64,,,,,7.452,,,,,,,,,,0.02355,,0.003947,2.5071,0.10289,0.3168,,,
2019-01-21,,,0.04251,,,,,,,,,6.4724,3526.9,,,,,,,,,,2.3223,4.2231,115.63,,,,,,,,,0.3004,,,0.4972,30.82,,,,,7.41,,,,,,,,,,0.02537,,0.004066,2.5001,0.10139,0.31767,,,
2019-01-22,,,0.04334,,,,,,,,,6.4736,3570.93,,,,,,,,,,2.4276,4.2776,117.81,,,,,,,,,0.3024,,,0.5344,31.41,,,,,7.6,,,,,,,,,,0.02619,,0.004529,2.7684,0.10209,0.31762,,,
2019-01-23,,,0.04266,,,,,,,,,6.4969,3552.82,,,,,,,,,,2.4188,4.2467,116.44,,,,,,,,,0.2929,,,0.5046,31.69,,,,,7.461,,,,,,,,,,0.02631,,0.004358,3.0269,0.10068,0.31415,,,
2019-01-24,,,0.04284,,,,,,,,,6.4588,3569.62,,,,,,,,,,2.4343,4.2637,116.39,,,,,,,,,0.2908,,,0.5017,32.51,,,,,7.642,,,,,,,,,,0.02672,,0.004379,2.7189,0.101,0.31593,,,
2019-01-25,,,0.0424,,,,,,,,,6.6899,3565.29,,,,,,,,,,2.4285,4.3159,115.11,,,,,,,,,0.284,,,0.4739,32.69,,,,,7.493,,,,,,,,,,0.02651,,0.004298,2.7792,0.0995,0.31384,,,
2019-01-26,,,0.04241,,,,,,,,,6.9463,3565.25,,,,,,,,,,2.4065,4.2704,115.34,,,,,,,,,0.2803,,,0.4661,32.8,,,,,7.438,,,,,,,,,,0.0285,,0.004332,2.677,0.09814,0.31258,,,
2019-01-27,,,0.04087,,,,,,,,,7.0396,3550.84,,,,,,,,,,2.3522,4.2064,112.05,,,,,,,,,0.2671,,,0.4303,32.21,,,,,7.336,,,,,,,,,,0.02902,,0.004136,2.6726,0.0943,0.30646,,,
2019-01-28,,,0.03855,,,,,,,,,6.1648,3434.15,,,,,,,,,,2.2267,3.9067,105.5,,,,,,,,,0.2536,,,0.4116,30.94,,,,,6.921,,,,,,,,,,0.02673,,0.003904,2.879,0.08583,0.29223,,,
2019-01-29,,,0.03796,,,,,,,,,6.1661,3411.04,,,,,,,,,,2.2561,3.8689,104.45,,,,,,,,,0.2514,,,0.4505,30.81,,,,,6.979,,,,,,,,,,0.02709,,0.003875,2.9478,0.08216,0.28693,,,
2019-01-30,,,0.03953,,,,,,,,,6.1388,3458.18,,,,,,,,,,2.3262,3.973,108.29,,,,,,,,,0.2604,,,0.4249,31.68,,,,,7.048,,,,,,,,,,0.02717,,0.004002,2.8729,0.08509,0.32109,,,
2019-01-31,,,0.03824,,,,,,,,,6.22,3434.1,,,,,,,,,,2.3089,3.9287,106.44,,,,,,,,,0.2555,,,0.3832,31.41,,,,,6.861,,,,,,,,,,0.02511,,0.003886,2.773,0.08115,0.30911,,,
2019-02-01,,,0.03857,,,,,,,,,6.5229,3462.07,,,,,,,,,,2.3263,3.9046,106.73,,,,,,,,,0.2551,,,0.4147,32.65,,,,,6.967,,,,,,,,,,0.02615,,0.003901,2.7135,0.08083,0.30624,,,
2019-02-02,,,0.03929,,,,,,,,,6.8655,3504.77,,,,,,,,,,2.4389,3.9821,110.42,,,,,,,,,0.2612,,,0.4136,34.59,,,,,7.237,,,,,,,,,,0.02608,,0.003929,2.7138,0.083,0.3103,,,
2019-02-03,,,0.03824,,,,,,,,,6.7887,3458.11,,,,,,,,,,2.3707,3.8983,107.36,,,,,,,,,0.2517,,,0.3963,33.44,,,,,7.016,,,,,,,,,,0.02542,,0.00386,2.8211,0.08012,0.30219,,,
2019-02-04,,,0.03799,,,,,,,,,7.1069,3463.22,,,,,,,,,,2.3973,3.8746,107.68,,,,,,,,,0.2555,,,0.3943,34.09,,,,,7.051,,,,,,,,,,0.02698,,0.003813,2.7277,0.07862,0.29939,,,
