date,1INCH,AAVE,ADA,ALGO,APT,ARB,ATOM,AVAX,AXS,BAT,BCH,BNB,BTC,CAKE,CHZ,COMP,CRV,DASH,DOGE,DOT,EGLD,ENJ,EOS,ETC,ETH,FIL,FTM,FTT,GALA,GRT,HBAR,ICP,INJ,IOTA,KAVA,LDO,LINK,LTC,MANA,MATIC,MKR,NEAR,NEO,OP,RUNE,SAND,SEI,SNX,SOL,SUI,THETA,TIA,TRX,UNI,VET,WAVES,XLM,XRP,XTZ,ZEC,ZIL
2019-01-01,,,4478712.307,,,,,,,,,8379611.862,88149249.09,,,,,,,,,,13891991.53,1321405.061,54280385.6,,,,,,,,,744887.7325,,,,3162741.447,,,,,2430436.388,,,,,,,,,,6655074.823,,524758.8587,,2358440.139,14481148.63,,,
2019-01-02,,,6964798.028,,,,,,,,,12667352.24,133876627.2,,,,,,,,,,21132405.06,2538294.347,138801471.1,,,,,,,,,2125800.179,,,,3805773.12,,,,,4887043.912,,,,,,,,,,8791280.766,,934087.1067,,3373469.628,27033811.67,,,
2019-01-03,,,6573566.388,,,,,,,,,8984033.716,111657372.7,,,,,,,,,,20406347.96,2076030.921,104953535.1,,,,,,,,,1678759.519,,,,2982980.225,,,,,3462622.016,,,,,,,,,,10357586.94,,801977.906,,3936989.52,21962305.24,,,
2019-01-04,,,4330311.302,,,,,,,,,9772290.645,111034550.6,,,,,,,,,,18236052.11,2695282.863,120827141.5,,,,,,,,,1382055.779,,,,3437486.385,,,,,2656763.112,,,,,,,,,,16967884.68,,864650.4313,,3651454.174,18261381.09,,,
2019-01-05,,,7288135.686,,,,,,,,,9826475.878,115893501.3,,,,,,,,,,15597384.93,2454584.308,120238339.8,,,,,,,,,964922.8204,,,,11471296.97,,,,,3442276.091,,,,,,,,,,24712864.24,,885567.6297,,4036564.586,18885957.01,,,
2019-01-06,,,13182349.33,,,,,,,,,15355552.56,142198812.2,,,,,,,,,,19658779.63,4578581.794,95681339.46,,,,,,,,,1450931.511,,,,28298586.9,,,,,9119336.565,,,,,,,,,,19397448.53,,1395354.804,,5304126.357,22444101.91,,,
2019-01-07,,,12916895.51,,,,,,,,,10428760.42,126830380.5,,,,,,,,,,20005625.34,7327995.376,64310962.92,,,,,,,,,1043331.761,,,,16797767.66,,,,,9614780.405,,,,,,,,,,16264676.52,,1098362.478,,8476106.073,25665344.46,,,
2019-01-08,,,9749279.984,,,,,,,,,25730037.89,154778846.5,,,,,,,,,,17749513.89,6890406.128,65535529.76,,,,,,,,,1511878.05,,,,20322945.33,,,,,13722687.79,,,,,,,,,,34492232.58,,1981439.973,,7375814.487,24413973.84,,,
2019-01-09,,,13323012.39,,,,,,,,,27575766.44,115218950.3,,,,,,,,,,20364302.65,4644312.555,44673066.39,,,,,,,,,1027958.301,,,,12104357.44,,,,,15206961.07,,,,,,,,,,43307824.23,,3316190.788,,5670414.513,24400079.84,,,
2019-01-10,,,21777697.77,,,,,,,,,20367712.11,221789348,,,,,,,,,,39728682.33,5601491.771,114437025.3,,,,,,,,,2696057.551,,,,19980421.47,,,,,15582096.05,,,,,,,,,,138582583.8,,4374212.284,,11354701.92,63015215.64,,,
2019-01-11,,,10363742.18,,,,,,,,,15157433.65,137560743.6,,,,,,,,,,21541816.11,4166710.64,67782816.34,,,,,,,,,1291137.003,,,,11268415.52,,,,,6113020.532,,,,,,,,,,51025948.14,,1718596.493,,6186461.876,24412830.45,,,
2019-01-12,,,4728969.068,,,,,,,,,10235285.06,78908770.68,,,,,,,,,,12643102.26,4074201.415,37295866.35,,,,,,,,,746177.6556,,,,5640569.246,,,,,3280904.591,,,,,,,,,,25553662.01,,715924.4786,,3623745.12,12579459.69,,,
2019-01-13,,,6104853.613,,,,,,,,,8108312.422,92882249.47,,,,,,,,,,12986952.74,2754368.035,49521201.28,,,,,,,,,768152.8419,,,,7075842.071,,,,,4843650.75,,,,,,,,,,18387881.69,,1637386.727,,6925780.267,17845500.58,,,
2019-01-14,,,7914002.567,,,,,,,,,13521000.25,125631820.1,,,,,,,,,,14508716.28,2307143.525,66801543.31,,,,,,,,,1371280.359,,,,7925720.274,,,,,6258935.417,,,,,,,,,,54292145.77,,1206567.992,,5123262.051,21107405.23,,,
2019-01-15,,,6532255.445,,,,,,,,,8031293.154,122785440.2,,,,,,,,,,16192453.11,2585255.822,79985529.56,,,,,,,,,987653.5872,,,,6784015.424,,,,,5495121.868,,,,,,,,,,34552847.14,,1004685.523,,3577881.717,17587679.76,,,
2019-01-16,,,8103446.913,,,,,,,,,12960434.73,98504455.21,,,,,,,,,,12895394.68,2708533.57,62314226,,,,,,,,,882277.5808,,,665013.6444,4789334.142,,,,,4133980.138,,,,,,,,,,20147980.54,,839061.7517,,2101246.746,15670242.95,,,
2019-01-17,,,10201705.57,,,,,,,,,14193314.65,106709137,,,,,,,,,,16552756.18,2362937.155,53854069.21,,,,,,,,,822026.4008,,,673447.2086,6238519.893,,,,,3814616.882,,,,,,,,,,24925335.13,,2862182.912,,3527310.872,15050768.29,,,
2019-01-18,,,4075909.926,,,,,,,,,15985247.06,81699723.54,,,,,,,,,,13250161.25,1425867.396,28305971.67,,,,,,,,,719918.4511,,,474999.2862,4659547.386,,,,,2226460.339,,,,,,,,,,15047821.74,,1577309.136,220852.8571,1818034.123,10280587.42,,,
2019-01-19,,,4444933.616,,,,,,,,,14687340.31,81354185.9,,,,,,,,,,10800188.49,2236062.819,39715159.16,,,,,,,,,860318.2706,,,354090.041,5273505.545,,,,,4534765.335,,,,,,,,,,16345904.92,,1042980.255,258188.7631,3426190.041,14172186.91,,,
2019-01-20,,,6313327.482,,,,,,,,,11481466.26,99767239.95,,,,,,,,,,15775132.98,2471681.894,53833668.91,,,,,,,,,705559.2556,,,323333.5538,7815412.73,,,,,5188003.327,,,,,,,,,,14465017.25,,1327630.139,214963.9548,4339037.861,12957741.17,,,
2019-01-21,,,3647266.717,,,,,,,,,11908754.86,69316548.77,,,,,,,,,,11461152.23,1580402.658,35258073.43,,,,,,,,,594618.7315,,,446086.7876,3392716.054,,,,,3022374.25,,,,,,,,,,16785304.4,,1796221.801,166317.6297,3140370.1,9416171.524,,,
2019-01-22,,,5207441.096,,,,,,,,,11938849.64,103804480.1,,,,,,,,,,15149818.38,1271686.796,41777737.47,,,,,,,,,911425.6606,,,955513.881,6183272.81,,,,,4043470.514,,,,,,,,,,28781954.31,,4126512.895,875154.7889,3424706.236,16317684.23,,,
