date,1INCH,AAVE,ADA,ALGO,APT,ARB,ATOM,AVAX,AXS,BAT,BCH,BNB,BTC,CAKE,CHZ,COMP,CRV,DASH,DOGE,DOT,EGLD,ENJ,EOS,ETC,ETH,FIL,FTM,FTT,GALA,GRT,HBAR,ICP,INJ,IOTA,KAVA,LDO,LINK,LTC,MANA,MATIC,MKR,NEAR,NEO,OP,RUNE,SAND,SEI,SNX,SOL,SUI,THETA,TIA,TRX,UNI,VET,WAVES,XLM,XRP,XTZ,ZEC,ZIL
2019-01-01,,,0.04057,,,,,,,,,6.1139,3701.23,,,,,,,,,,2.5345,4.983,131.45,,,,,,,,,0.3484,,,,29.92,,,,,7.423,,,,,,,,,,0.01867,,0.003921,,0.11002,0.34864,,,
2019-01-02,,,0.04195,,,,,,,,,5.991,3796.45,,,,,,,,,,2.6185,5.2354,139.1,,,,,,,,,0.361,,,,31.47,,,,,7.755,,,,,,,,,,0.01929,,0.004082,,0.11367,0.36057,,,
2019-01-03,,,0.04432,,,,,,,,,6.0445,3857.57,,,,,,,,,,2.8186,5.3216,152.01,,,,,,,,,0.3823,,,,32.68,,,,,7.894,,,,,,,,,,0.01975,,0.004138,,0.11654,0.3686,,,
2019-01-04,,,0.04207,,,,,,,,,5.7947,3767.2,,,,,,,,,,2.6361,4.9982,146.3,,,,,,,,,0.3693,,,,31.41,,,,,7.508,,,,,,,,,,0.01967,,0.003969,,0.11146,0.35255,,,
2019-01-05,,,0.04301,,,,,,,,,5.9688,3790.09,,,,,,,,,,2.6749,5.1926,152.08,,,,,,,,,0.3675,,,,31.76,,,,,7.455,,,,,,,,,,0.02105,,0.004031,,0.11276,0.35303,,,
2019-01-06,,,0.044,,,,,,,,,5.9626,3771.12,,,,,,,,,,2.6518,5.0511,152.83,,,,,,,,,0.3615,,,,34.33,,,,,7.721,,,,,,,,,,0.02191,,0.003998,,0.11161,0.34851,,,
2019-01-07,,,0.04822,,,,,,,,,6.2681,3987.62,,,,,,,,,,2.8104,5.3848,153.89,,,,,,,,,0.3702,,,,38.29,,,,,8.466,,,,,,,,,,0.0225,,0.004246,,0.11871,0.36042,,,
2019-01-08,,,0.04757,,,,,,,,,6.1979,3976.76,,,,,,,,,,2.733,4.8071,149.29,,,,,,,,,0.3613,,,,37.35,,,,,8.363,,,,,,,,,,0.02333,,0.004121,,0.12221,0.36015,,,
2019-01-09,,,0.04781,,,,,,,,,6.5197,3955.45,,,,,,,,,,2.7433,4.8852,147.62,,,,,,,,,0.357,,,,38.7,,,,,9.006,,,,,,,,,,0.0259,,0.004297,,0.12158,0.36073,,,
2019-01-10,,,0.05144,,,,,,,,,6.5511,3966.06,,,,,,,,,,2.8624,4.9088,148.11,,,,,,,,,0.3634,,,,38.17,,,,,9,,,,,,,,,,0.02784,,0.004701,,0.12253,0.36479,,,
2019-01-11,,,0.04365,,,,,,,,,5.844,3585.88,,,,,,,,,,2.3692,4.3339,124.96,,,,,,,,,0.3034,,,,32.81,,,,,7.771,,,,,,,,,,0.02535,,0.003966,,0.10595,0.32464,,,
2019-01-12,,,0.04327,,,,,,,,,5.9552,3601.31,,,,,,,,,,2.3614,4.3713,124.67,,,,,,,,,0.3068,,,,31.48,,,,,7.732,,,,,,,,,,0.02453,,0.003913,,0.10385,0.3258,,,
2019-01-13,,,0.04288,,,,,,,,,5.8629,3584.1,,,,,,,,,,2.3766,4.4591,123.35,,,,,,,,,0.3022,,,,31.65,,,,,7.562,,,,,,,,,,0.02297,,0.00393,,0.10451,0.32554,,,
2019-01-14,,,0.03944,,,,,,,,,5.4688,3477.56,,,,,,,,,,2.2095,4.1415,114.17,,,,,,,,,0.2786,,,,29.6,,,,,6.982,,,,,,,,,,0.02085,,0.003709,,0.1011,0.31139,,,
2019-01-15,,,0.04341,,,,,,,,,6.0565,3626.08,,,,,,,,,,2.426,4.2901,126.95,,,,,,,,,0.2996,,,,31.72,,,,,7.812,,,,,,,,,,0.02524,,0.003981,,0.10732,0.3286,,,
2019-01-16,,,0.04199,,,,,,,,,5.8007,3553.06,,,,,,,,,,2.3475,4.1212,118.93,,,,,,,,,0.2906,,,0.5355,30.74,,,,,7.416,,,,,,,,,,0.02396,,0.003849,,0.10383,0.32154,,,
2019-01-17,,,0.0442,,,,,,,,,6.0941,3591.84,,,,,,,,,,2.4035,4.2549,121.49,,,,,,,,,0.2934,,,0.4895,31.29,,,,,7.552,,,,,,,,,,0.02482,,0.003938,,0.10555,0.3258,,,
2019-01-18,,,0.0447,,,,,,,,,6.3152,3613.32,,,,,,,,,,2.4729,4.409,121.56,,,,,,,,,0.3042,,,0.4762,31.38,,,,,7.667,,,,,,,,,,0.02491,,0.004185,2.77,0.10713,0.32468,,,
2019-01-19,,,0.04373,,,,,,,,,6.4887,3594.87,,,,,,,,,,2.4296,4.3189,119.16,,,,,,,,,0.3011,,,0.4908,30.78,,,,,7.503,,,,,,,,,,0.0244,,0.004014,2.53,0.10561,0.32042,,,
2019-01-20,,,0.04515,,,,,,,,,6.5221,3665.75,,,,,,,,,,2.4432,4.341,122.61,,,,,,,,,0.3086,,,0.4803,31.94,,,,,7.898,,,,,,,,,,0.02418,,0.004069,2.5539,0.10655,0.32672,,,
2019-01-21,,,0.0429,,,,,,,,,6.4069,3539.26,,,,,,,,,,2.3279,4.2181,117.56,,,,,,,,,0.2963,,,0.4839,30.63,,,,,7.456,,,,,,,,,,0.02357,,0.003956,2.5071,0.10289,0.31697,,,
2019-01-22,,,0.04249,,,,,,,,,6.4681,3526.88,,,,,,,,,,2.3226,4.2237,115.62,,,,,,,,,0.3004,,,0.496,30.82,,,,,7.405,,,,,,,,,,0.02537,,0.00407,2.51,0.10142,0.31766,,,
2019-01-23,,,0.04332,,,,,,,,,6.478,3570.41,,,,,,,,,,2.4275,4.2761,117.8,,,,,,,,,0.3021,,,0.5342,31.4,,,,,7.591,,,,,,,,,,0.02617,,0.004524,2.7694,0.10202,0.31762,,,
2019-01-24,,,0.04266,,,,,,,,,6.4963,3552.97,,,,,,,,,,2.4188,4.2508,116.4,,,,,,,,,0.2933,,,0.5046,31.69,,,,,7.458,,,,,,,,,,0.02631,,0.004363,3.0239,0.10073,0.31422,,,
2019-01-25,,,0.04282,,,,,,,,,6.4555,3569.07,,,,,,,,,,2.4344,4.2639,116.4,,,,,,,,,0.2908,,,0.5031,32.52,,,,,7.643,,,,,,,,,,0.02673,,0.004383,2.7189,0.10096,0.31584,,,
2019-01-26,,,0.04241,,,,,,,,,6.689,3566.69,,,,,,,,,,2.4278,4.3219,115.13,,,,,,,,,0.2845,,,0.4736,32.68,,,,,7.493,,,,,,,,,,0.02652,,0.004299,2.78,0.09947,0.314,,,
2019-01-27,,,0.04238,,,,,,,,,6.9453,3565.62,,,,,,,,,,2.4048,4.2674,115.32,,,,,,,,,0.2801,,,0.4661,32.79,,,,,7.438,,,,,,,,,,0.0285,,0.00433,2.6713,0.09813,0.3126,,,
2019-01-28,,,0.04088,,,,,,,,,7.0399,3550.05,,,,,,,,,,2.3521,4.2051,112.04,,,,,,,,,0.268,,,0.431,32.22,,,,,7.336,,,,,,,,,,0.02902,,0.004136,2.6729,0.09434,0.30653,,,
2019-01-29,,,0.03855,,,,,,,,,6.1642,3434,,,,,,,,,,2.2266,3.9043,105.49,,,,,,,,,0.2535,,,0.4104,30.94,,,,,6.921,,,,,,,,,,0.02673,,0.00392,2.879,0.08578,0.29223,,,
2019-01-30,,,0.03796,,,,,,,,,6.1335,3410.04,,,,,,,,,,2.2562,3.8689,104.41,,,,,,,,,0.2514,,,0.4505,30.8,,,,,6.979,,,,,,,,,,0.02709,,0.003876,2.9478,0.08214,0.28694,,,
2019-01-31,,,0.03951,,,,,,,,,6.1384,3457.5,,,,,,,,,,2.3267,3.9739,108.29,,,,,,,,,0.2604,,,0.425,31.68,,,,,7.047,,,,,,,,,,0.02715,,0.004002,2.8783,0.08516,0.32118,,,
2019-02-01,,,0.03825,,,,,,,,,6.225,3434.1,,,,,,,,,,2.31,3.9376,106.47,,,,,,,,,0.2555,,,0.385,31.43,,,,,6.865,,,,,,,,,,0.02511,,0.003885,2.7768,0.08122,0.3092,,,
2019-02-02,,,0.03853,,,,,,,,,6.5185,3462.2,,,,,,,,,,2.3258,3.9039,106.71,,,,,,,,,0.2554,,,0.4163,32.61,,,,,6.963,,,,,,,,,,0.02614,,0.003898,2.7176,0.08086,0.30628,,,
2019-02-03,,,0.03929,,,,,,,,,6.8688,3504.06,,,,,,,,,,2.4389,3.9853,110.41,,,,,,,,,0.2612,,,0.417,34.59,,,,,7.243,,,,,,,,,,0.02608,,0.003937,2.7151,0.08305,0.31042,,,
2019-02-04,,,0.03824,,,,,,,,,6.7888,3458.11,,,,,,,,,,2.3701,3.8968,107.33,,,,,,,,,0.2517,,,0.3959,33.43,,,,,7.012,,,,,,,,,,0.02542,,0.003852,2.8184,0.08021,0.30204,,,
2019-02-05,,,0.03798,,,,,,,,,7.1028,3463.22,,,,,,,,,,2.3973,3.8745,107.65,,,,,,,,,0.2559,,,0.3926,34.08,,,,,7.053,,,,,,,,,,0.02698,,0.003813,2.7253,0.07861,0.29932,,,
2019-02-06,,,0.03807,,,,,,,,,7.8569,3471.57,,,,,,,,,,2.3914,3.8638,107.28,,,,,,,,,0.2541,,,0.4224,34.35,,,,,7.001,,,,,,,,,,0.02622,,0.003788,2.6661,0.07706,0.29972,,,
2019-02-07,,,0.03667,,,,,,,,,8.1347,3407,,,,,,,,,,2.3427,3.7449,104.49,,,,,,,,,0.2418,,,0.4,32.78,,,,,6.862,,,,,,,,,,0.02552,,0.003624,2.504,0.07426,0.28934,,,
2019-02-08,,,0.03645,,,,,,,,,7.807,3398.4,,,,,,,,,,2.3407,3.8502,104.48,,,,,,,,,0.254,,,0.4021,33.23,,,,,6.929,,,,,,,,,,0.02569,,0.003686,2.4865,0.07426,0.29146,,,
2019-02-09,,,0.04072,,,,,,,,,8.5972,3660.27,,,,,,,,,,2.7213,4.1365,119.32,,,,,,,,,0.279,,,0.4371,42.99,,,,,7.55,,,,,,,,,,0.0268,,0.003957,2.6593,0.08144,0.31195,,,
2019-02-10,,,0.04117,,,,,,,,,8.9001,3665.18,,,,,,,,,,2.7707,4.0761,119.19,,,,,,,,,0.2764,,,0.4648,44.68,,,,,7.663,,,,,,,,,,0.02623,,0.004013,2.6018,0.08076,0.31218,,,
2019-02-11,,,0.04292,,,,,,,,,9.1695,3679.75,,,,,,,,,,2.8401,4.1597,125.12,,,,,,,,,0.2817,,,0.4495,46.8,,,,,7.975,,,,,,,,,,0.02579,,0.004022,2.72,0.08032,0.30985,,,
2019-02-12,,,0.04171,,,,,,,,,9.525,3631.05,,,,,,,,,,2.7493,4.0703,120.88,,,,,,,,,0.2679,,,0.4277,42.88,,,,,8.123,,,,,,,,,,0.02456,,0.003904,2.87,0.07708,0.30243,,,
2019-02-13,,,0.04172,,,,,,,,,9.2763,3631.51,,,,,,,,,,2.9475,4.0675,122.4,,,,,,,,,0.2733,,,0.4277,43.89,,,,,8.202,,,,,,,,,,0.02441,,0.003916,2.8454,0.07718,0.3051,,,
2019-02-14,,,0.04105,,,,,,,,,8.9165,3608.34,,,,,,,,,,2.8565,4.0964,121.86,,,,,,,,,0.2696,,,0.4422,41.61,,,,,8.218,,,,,,,,,,0.02407,,0.003854,2.7316,0.07622,0.30387,,,
