,equity,regime
2021-06-30,1.0,bear
2021-07-01,1.0,bear
2021-07-02,1.0,bear
2021-07-03,1.0,bear
2021-07-04,1.0,bear
2021-07-05,1.0,bear
2021-07-06,1.0,bear
2021-07-07,1.0,bear
2021-07-08,1.0,bear
2021-07-09,1.0,bear
2021-07-10,1.0,bear
2021-07-11,1.0,bear
2021-07-12,1.0,bear
2021-07-13,1.0,bear
2021-07-14,1.0,bear
2021-07-15,1.0,bear
2021-07-16,1.0,bear
2021-07-17,1.0,bear
2021-07-18,1.0,bear
2021-07-19,1.0,bear
2021-07-20,1.0,bear
2021-07-21,1.0,bear
2021-07-22,1.0,bear
2021-07-23,1.0,bear
2021-07-24,1.0,bear
2021-07-25,1.0,bear
2021-07-26,1.0,bear
2021-07-27,1.0,bear
2021-07-28,1.0,bear
2021-07-29,1.0,bear
2021-07-30,1.0,chop
2021-07-31,1.0,chop
2021-08-01,1.0,bear
2021-08-02,1.0,bear
2021-08-03,1.0,bear
2021-08-04,1.0,chop
2021-08-05,1.0,chop
2021-08-06,1.0,chop
2021-08-07,1.0,chop
2021-08-08,1.0,chop
2021-08-09,1.0,chop
2021-08-10,1.0,chop
2021-08-11,1.0052968871018946,chop
2021-08-12,0.9948773983607239,chop
2021-08-13,1.0234622176618742,chop
2021-08-14,1.0207434470062111,chop
2021-08-15,1.0417198678806745,chop
2021-08-16,1.0398236488821702,chop
2021-08-17,1.0253253914244411,chop
2021-08-18,1.03143140933163,chop
2021-08-19,1.0475139974421288,chop
2021-08-20,1.0676189091099735,chop
2021-08-21,1.0585559082423202,chop
2021-08-22,1.0589273292593688,chop
2021-08-23,1.0690559057862472,chop
2021-08-24,1.0391953012028052,chop
2021-08-25,1.05212868213351,chop
2021-08-26,1.0345976237806163,chop
2021-08-27,1.0670241221316867,chop
2021-08-28,1.075978253795271,chop
2021-08-29,1.0813498189177475,chop
2021-08-30,1.0884264231256802,chop
2021-08-31,1.095232433497933,chop
2021-09-01,1.1150006364864686,chop
2021-09-02,1.125952365841709,bull
2021-09-03,1.1390177958545178,bull
2021-09-04,1.1377153260940884,bull
2021-09-05,1.1484201064678285,bull
